StageName,DOW,BirthLast,BirthFirst,Gender,DOB,DOD,Type,Country
Isabelle Adjani,1971-1983,Adjani,Isabelle,F,1955,,R:lead,\Fr-\Ge
Jay Adler,1938-1965,Adler,Jay,M,1899,,R:character,USA
Luther Adler,1937-1981,Adler,Lutha,M,1903,,R:heavy,USA
Renee Adoree,1920-1930,de la Font\`e,Jeanne,F,1898,,R:exotic,french
Mario Adorf,1959-1981,Adorf,Mario,M,1930,,R:European films,swiss
Max Adrian,1934-1971,Bor,Max,M,1902,,R:high camp personality,ireland
John Agar,1948-1976,Agar,John,M,1921,,R:lead,USA
Rati Agnihotri,1985,bn,fn,F,1960,,R:modern dancer,india
Jenny Agutter,1964-1981,Agutter,Jenny,F,1952,,R:lead,british
Brian Aherne,1924-1967,Aherne,Brian,M,1902,,R:gentle lead,british
Philip Ahn,1936-1975,Ahn,Philip,M,1911,,R:Asiatic,USA
Anouk Aim\'ee,1947-1983,Dreyfus,Fran{\c}coise Sorya,F,1932,,R:poised heartthrob,french
Richard Ainley,1936-1949,Ainley,Richard,M,1910,,unknown,british
Maria Aitkins,1989,,,F,,,unknown,unknown
Franklyn Ajaye,1976-1978,,,M,1949,,unknown,USA
Muriel Aked,1922-1953,Aked,Muriel,F,1887,,"R:comedy spinster, gossip",british
Claude Akins,1953-1979,Akins,Claude,M,1918,,"R:western villain, burly middle-aged hero",USA
Serap Aksoy,1991,Aksoy,Serap,F,,,R:sr,\Tu
Josh Albee,1979,,,M,,,unknown,unknown
Anna Maria Alberghetti,1951-1960,Alberghetti,Anna Maria,F,1936,,R:singer,italian
Han Albers,1923-1960,Albers,Han,M,1892,,R:lead,german
Eddie Albert,1938-1982,Heimberger,Eddie Albert,M,1908,,R:honest Joe,USA
Edward Albert,1965-1982,Albert,Edward,M,1951,,R:light,USA
Edward Albert~jr.,,,,M,,,unknown,unknown
William Albert,1982,,,M,,,unknown,unknown
Frank Albertson,1928-1963,Albertson,Frank,M,1907,,R:straight,USA
Jack Albertson,1947-1978,Albertson,Jack,M,1907,,R:character,USA
Mabel Albertson,1939-1970,Albertson,Mabel,F,1901,,"R:nosey neighbour, wise and witty grandma",USA
Hardie Albright,1931-1957,Albrecht,Hardy,M,1903,,R:underused lead,USA
Lola Albright,1949-1968,Albright,Lola,F,1925,,"R:stylish, tough-talking",USA
Alan Alda,1963-1982,Alda,Alan,M,1936,,R:lead,USA
Robert Alda,1945-1976,d'Abruzzo,Alphonso,M,1914,,unknown,unknown
Rutanya Alda,1978-1982,,,F,,,R:},unknown
John Alderton,1964-1976,Alderton,John,M,1940,,R:light lead,british
Vera Alentova,1980,,,F,,,unknown,unknown
Ben Alexander,1917-1957,Alexander,Nicholas Benton,M,1911,,R:boy actor,USA
Jane Alexander,1970-1983,Quigley,Jane,F,1939,,R:regal,USA
John Alexander,1936-1960,Alexander,John,M,1901,,R:portly,USA
Katherine Alexander,1934-1949,Alexander,Katherine,F,1901,,R:sympathetic,USA
Ross Alexander,1932-1937,Alexander,Ross,M,1907,,R:lead,USA
Sandy Alexander,1983,,,,,,unknown,unknown
Terence Alexander,1951-1979,Alexander,Terence,M,1923,,R:ineffectual,british
Hope AlexanderWells,,,,F,,,unknown,unknown
Muhammed Ali,1977,Clay,Cassius,M,1942,,unknown,Black-\Am
Dorothy Alison,1952-1972,Alison,Dorothy,F,1925,,unknown,australian
Andrea Allan,,,,F,,,unknown,unknown
Elizabeth Allan,1931-1958,Allan,Elizabeth,F,1908,,R:delicate or aristocratic heroines,british
William Alland,1941-1961,Alland,William,M,1916,,R:enquiring reporter,USA
Chesney Allen,1935-1944,Allen,Chesney,M,1894,,R:light comedian,british
Catherine Allegret,1965,,,F,,,unknown,french
Elizabeth Allen,1960-1972,Gillease,Elizabeth,F,1934,,R:lead,USA
Fred Allen,1935-1953,Sullivan,John F.,M,1894,,R:lead,USA
Gracie Allen,1933-1944,Allen,Gracie,F,1902,,R:scatterbrained comedienne,USA
Karen Allen,1978-1982,Allen,Karen,F,1955,,R:lead,USA
Nancy Allen,1973-1983,Allen,Nancy,F,1954,,R:lead,USA
Patrick Allen,1955-1982,Allen,Patrick,M,1927,,R:lead,british
Rae Allen,,,,,,,unknown,unknown
Steve Allen,1949-1989,Allen,Steve,M,1921,,R:dry comic,USA
Woody Allen,1965-1983,Konigsberg,Allen Stewart,M,1935,,R:confused innocent,USA
Joseph Allen~jr.,,,,M,,,unknown,unknown
Kirstie Alley,1982-1990,Alley,Kirstie,F,,,R:spunky,USA
Sara Allgood,1918-1950,Allgood,Sara,F,1883,,R:amiable,ireland
Claud Allister,1929-1953,Palmer,Claud,M,1891,,R:silly monocled,british
Astrid Allwyn,1932-1943,Allwyn,Astrid,F,1909,,R:lead,\Sw
June Allyson,1943-1978,Geisman,Ella,F,1917,,R:tomboy tease,USA
Pedro Almodovar,,Almodovar,Pedro,M,,,R:wild,spain
Maria Conchita Alonso,,,,F,,,unknown,unknown
Corinne Alphen,1983,,,F,,,R:beauty,unknown
Kirk Alyn,1942-1950,Alyn,Kirk,M,1910,,R:lead,USA
Betty Amann,,,,F,,,unknown,unknown
Leonora Amar,,,,F,,,unknown,unknown
Don Ameche,1936-1983,Amici,Dominic Felix,M,1908,,R:pleasant hero,USA
Lucio Amelio,,,,M,,,unknown,unknown
Leon Ames,1932-1972,Wycoff,Leon,1903,1993,,"R:harassed or kindly father, suave professional man",USA
Ramsay Ames,1944-1963,Philips,Ramsay,F,1919,,R:lead,USA
Suzy Amis,1993,Amis,Suzy,F,1962,,R:handsome,USA
John Amos,,,,M,,,unknown,unknown
John Amplas,,,,M,,,unknown,unknown
Dev Anand,1958-1980,bn,fn,M,,,R:hero,\In dian
Glenn Anders,1930-1951,Anders,Glenn,M,1889,,R:sinister,USA
Luana Anders,1958-1982,Anders,Luana,F,1949,,R:lead,USA
Merry Anders,1952-1958,Anders,Merry,F,1932,,R:light lead,USA
Bridgette Andersen,,,,F,,,unknown,unknown
Bibi Anderson,,,,M,,,R:transvestite,
E. Erich Anderson,,,,M,,,unknown,unknown
Rochester,1930-1965,Anderson,Eddie,M,1905,,R:black comedian,USA
G.M. Anderson,1903-1965,Aronson,Max,M,1882,,R:cowboy,USA
Harriet Anderson,1955,Anderson,Harriet,F,,,R:nude villain,\Sw
Herbert Anderson,194-1969,Anderson,Herbert,M,1917,,R:mild-mannered,USA
Ingrid Anderson,,,,F,,,unknown,unknown
Jean Anderson,1947-1979,Anderson,Jean,F,1908,,"R:sympathetic nurse, tired mother, spinster aunt",british
John Anderson,1958-1978,Anderson,John,M,1922,,"R:Tall, thin, pale-eyed",USA
Judith Anderson,1933-1984,Anderson,Dame Frances Margaret,F,1898,,R:icy presence,australian
Lindsay Anderson,1981,Anderson,Lindsay,M,1923,,unknown,british
Loni Anderson,1977,Anderson,Loni,F,1947,,R:sexy blonde,USA
Mary Anderson,1939-1953,Anderson,Mary,F,1920,,R:supporting,USA
Melissa Sue Anderson,,,,F,,,unknown,unknown
Michael Anderson~jr.,1957-1971,Anderson,Michael,M,1943,,R:juvenile lead,
Richard Anderson,1951-1978,Anderson,Richard,M,1926,,R:thoughtful-looking,USA
Rona Anderson,1948-1969,Anderson,Rona,F,1926,,unknown,\Br; Scots
Warner Anderson,1943-1968,Anderson,Warner,M,1911,,"R:solid presence, no outstanding personality",USA
Bibi Andersson,1955-1983,Andersson,Bibi,F,1935,,unknown,\Sw
Harriet Andersson,1952-1972,Andersson,Harriet,F,1932,,unknown,USA
Carole Andre,,,,F,,,unknown,unknown
Gabe Andre,,,,,,,unknown,unknown
Fr\'ed\'ric Andrei,,,,M,,,unknown,unknown
Ursula Andress,1954-1981,Ursula,Andress,F,1936,,R:sex bomb,swiss
Anthony Andrews,1974-1981,Andrews,Anthony,M,1948,,R:lead,british
Brian Andrews,,,,M,,,unknown,unknown
Dana Andrews,1940-1979,Andrews,Carver Daniel,M,1909,,R:hard,USA
Eamonn Andrews,,Andrews,\'Eamonn,M,,,unknown,\Ct
Edward Andrews,1955-1979,Andrews,Edward,M,1914,,"R:beaming, bespectacled",USA
Harry Andrews,1952-1980,Andrews,Harry,M,1911,,R:tough,british
Julie Andrews,1964-1983,Wells,Julia,F,1934,,R:wholesome singer,british
The Andrews Sisters,1940-1948,"Patty, Maxine, Laverne",Andrews,G,1913,,unknown,USA
Stanley Andrews,1934-1958,Andrews,Stanley,M,1892,,R:grizzled western veteran,USA
Heather Angel,1930-1962,Angel,Heather,F,1909,,R:lead,british
Pier Angeli,1950-1972,Pierangeli,Anna Maria,F,1932,,R:sensitive,italian
The Hells Angels,,,,G,,,unknown,unknown
Maya Angelou,1993,Angelou,Maya,F,1929,,R:poet,USA
Muriel Angelus,1930-1940,Findlay,M.A.,F,1909,,R:lead,british
Ivy Angustain,,,,F,,,unknown,unknown
Evelyn Ankers,1933-1960,Ankers,Evelyn,F,1918,,"R:looked decorative, well-bred heroine",british
Morris Ankrum,1940-1961,Morris,Stephen,M,1896,,"R:lawyer, judge, Western villain",USA
Francesca Annis,1958-1983,Annis,Francesca,F,1944,,R:lead,british
AnnMargret,1961-1983,Olsson,Ann-Margret,F,1941,,R:sex symbol,\Sw-\Am
Michael Ansara,1944-1974,Ansara,Michael,M,1922,,R:Indian,USA
Karen Anspach,,,,F,,,unknown,unknown
Susan Anspach,1970-1983,Anspach,Susan,F,1939,,R:stage,USA
Adam Ant,,,,M,,,unknown,unknown
Lysette Anthony,,,,F,,,unknown,unknown
Michael Anthony,,,,M,,,unknown,unknown
Susan Anton,,,,F,,,unknown,unknown
Laura Antonelli,,,,F,,,unknown,unknown
Lou Antonio,,,,M,,,unknown,unknown
Scott Antony,1972-1974,Antony,Scott,M,1950,,R:lead juvenile,british
Aquanetta,1942-1946,Davenbort,Burnu,F,1920,,R:exotic,USA
Alfonso Arau,,,,M,,,unknown,unknown
Roscoe Abuckle,1913-1921,Arbuckle,Roscoe (Fatty),M,1887,,R:comic,USA
Allan Arbus,,,,M,,,unknown,unknown
Anne Archer,1970-1982,Archer,Anne,F,,,R:lead,USA
Fanny Ardant,1981-1984,Ardant,Fanny,F,1949,,R:lead,french
Eve Arden,1929-1982,Quedens,Eunice,F,1912,,"R:best, cool friend",USA
Carmen Argenziano,,,,F,,,unknown,unknown
Adam Arkin,,,,M,,,unknown,unknown
Alan Arkin,1966-1983,Arkin,Alan,M,1934,,R:lead,USA
David Arkin,,,,M,,,unknown,unknown
Richard Arlen,1925-1976,van Mattemore,Cornelius,M,1898,,R:rugged hero,USA
Arletty,1931-1972,Bathiat,Leonie,F,1898,,R:world-weary,french
George Arliss,1921-1937,Andrews,George Augustus,M,1868,,R:autocratic,british
Pedro Armendariz,1936-1963,Armendariz,Pedro,M,1912,,R:expansive,mexico
Henry Armetta,1918-1946,Armetta,Henry,M,1888,,"R:excitable, gesticulating foreigner",italian
Bess Armstrong,1982-1983,Armstrong,Bess,F,,,R:lead,USA
Curtis Armstrong,,,,M,,,unknown,unknown
Louis Armstrong,1936-1969,Armstrong,Louis `Satchmo',M,1900,,R:black jazz musician,USA
R.G. Armstrong,1958-1982,Armstrong,R.G.,M,1920,,R:tough serious,USA
Robert Armstrong,1927-1963,Smith,Donald Robert,M,1890,,"R:tough cop, scientist",USA
Todd Armstrong,1962-1968,Armstrong,Todd,M,1939,,R:stalwart lead,USA
Yvonne Arnaud,1920-1958,Arnaud,Yvonne,F,1892,,unknown,french
Lucie Arnaz,1975-1983,Arnaz,Lucie,F,1951,,R:lead,
Desi Arnaz,1950-1982,Arnaz y de Acha,Desiderio,M,1915,,R:diminutive explosive romantic,\Cu
Desi Arnaz~jr.,1970-1983,Arnaz,Desi,M,1953,,R:juvenile lead,USA
Peter Arne,1955-1982,Albrecht,Peter Arne,M,1920,,R:villain,british
James Arness,1947-1981,Aurness,James,M,1923,,R:giant,USA
Jeanetta Arnette,,,,F,,,unknown,unknown
Edward Arnold,1916-1956,Schneider,Guenther,M,1890,,R:dynamic rotund,USA
Mark Arnott,,,,M,,,unknown,unknown
Charles Arnt,1934-1962,Arnt,Charles,M,1908,,"R:snoop, suspicious, or plain ordinary fellow",USA
Rosanna Arquette,,,,F,,,unknown,unknown
Antonin Artaud,1926-1928,Artaud,Antonin,M,1895,,R:dabbling writer,french
Beatrice Arthur,1972-1983,Frankel,Bernice,F,1923,,R:dominant comedy,USA
George K. Arthur,1921-1935,Brest,G.K.A.,M,1899,,R:small but gamy,british
Jean Arthur,1923-1966,Greene,Gladys,F,1905,,R:squeaky petite feminist,USA
Linda Arvidson,1908-1916,Arvidson-Griffith,Linda,F,1884,,R:lead,USA
Leslie Ash,,,,,,,unknown,unknown
Peggy Ashcroft,1933-1978,Ashcroft,Dame Peggy,F,1907,,R:royal,british
Jane Asher,1951-1972,Asher,Jane,F,1946,,R:lead,british
Ren\`ee Asherson,1944-1968,Asherson,Ren,F,1920,,unknown,british
Edward Ashley,1933-1976,Cooper,E.A.,M,1904,,R:third lead,british
Elizabeth Ashley,1964-1982,Cole,Elizabeth,F,1939,,R:cold sporadic,USA
Jennifer Ashley,,,,F,,,unknown,unknown
John Ashley,,,,M,,,unknown,unknown
Gregoire Asian,,,,,,,unknown,unknown
Luke Askew,1967-1979,Askew,Luke,M,,,R:western,USA
Arthur Askey,1937-1972,Askey,Arthur,M,1900,,R:diminutive,british
Ed Asner,1963-1983,Asner,Edward,M,1929,,R:chubby tough,USA
Chuck Aspegren,,,,M,,,unknown,unknown
Armand Assante,,,,M,,,unknown,unknown
Asta,1934-1947,,,A,,,R:wire-haired fox terrier,unknown
Adele Astaire,,,,M,,,unknown,\Ct
Fred Astaire,1933-1981,Austerlitz,Frederick,M,1899,,R:dancer,USA
Nils Asther,1927-1963,Asther,Nils,M,1897,,"R:suave, exotic",\Sw
John Astin,1961-1977,Astin,John,M,1930,,R:comic,USA
Patty Duke Astin,1955-1982,Duke Astin,Patty,F,1946,,unknown,USA
Gertrude Astor,1927-1962,Astor,Gertrude,F,1887,,R:silent screen,USA
Mary Astor,1921-1964,Langehanke,Lucille,F,1906,,"R:solid, character",USA
William Atherton,1972-1983,Atherton,William,M,1947,,unknown,USA
Christopher Atkins,1980-1983,Atkins,Christopher,M,1961,,R:juvenile lead,USA
Eileen Atkins,1968-1983,Atkins,Eileen,F,1934,,R:character,british
Kiyoshi Atsumi,1969-1996,Tadoroko,Yasuo,M,1928,,\Jp,"R:peddler: Tora-san In(Ser(""Otoko wa Tsurayo"" It's hard being a man #1 1969, #49 1996, D(Yiji Yamada)))"
Richard Attenborough,1942-1979,Attenborough,Sir Richard,M,1923,,"R:coward, `wide range'",british
Malcolm Atterbury,1954-1964,Atterbury,Malcolm,M,1907,,R:character,USA
Edith Atwater,1936-1976,Atwater,Edith,F,1911,,R:lead,USA
Lionel Atwill,1919-1946,Atwill,Lionel,M,1885,,R:teutonic villains,british
Kim Atwood,,,,,,,unknown,unknown
Brigitte Auber,1955,,,F,,,unknown,unknown
Rene Auberjonois,1970-1980,Auberjonois,Ren\'e,M,1940,,R:character,USA
Lenore Aubert,1938-1949,Aubert,Leonore,F,1913,,R:sinister,yugoslavian
Cecile Aubry,1949-1954,Benard,Anne-Jes\`e,F,1929,,R:petit,french
Joss Auckland,,,,M,,,unknown,unknown
Michael Auclair,1946-1973,Vujovic,Vladimir,M,1922,,R:lead,french
Maxine Audley,1954-1969,Audley,Maxine,F,1923,,R:character,british
Stephane Audran,1958-1982,Audran,St\'ephane,F,1932,,R:cool,french
Audrey,,,,,,,unknown,unknown
Mischa Auer,1928-1966,Ounskowsky,Mischa,M,1905,,"R:wild, noble idiot",russian
Claudine Auger,1963-1980,Auger,Claudine,F,1942,,R:lead,french
Marie Ault,1924-1949,Cragg,Mary,F,1870,,R:dialect comedy,british
JeanPierre Aumont,1931-1983,Salomons,Jean-Pierre,M,1909,,R:lead,french
John Austin,,,,M,,,unknown,unknown
Daniel Auteuil,1985,,Auteuil,Daniel,M,,199x,RU:
Gene Autry,1937-1950,Autry,Gene,M,1907,,R:easy-going cowboy,USA
Frankie Avalon,1960-1978,Avallone,Francis,M,1939,,R:light lead,USA
Luis Avalos,,,,M,,,unknown,unknown
Doe Avedon,1954-1956,Avedon,Doe,F,1928,,R:lead,USA
Brian Avery,,,,M,,,unknown,unknown
Margaret Avery,,,,F,,,unknown,unknown
Nina Axelrod,,,,F,,,unknown,unknown
Hoyt Axton,,,,M,,,unknown,unknown
George Ayer,,,,M,,,unknown,unknown
Dan Aykroyd,1980-1988,Aykroyd,Dan,M,,,R:comic lead,USA
Felix Aylmer,1933-1968,Aylmer Jones,Felix Edward,M,1889,,"R:schoolmasters, bishops",british
Agnes Ayres,1919-1937,Hinkle,Agnes,F,1896,,R:silent lead,USA
Gregg Ayres,,,,M,,,unknown,unknown
Lew Ayres,1929-1972,Ayer,Lewis,M,1908,,R:boyish lead,USA
Robert Ayres,1949-1968,Ayres,Robert,M,1914,,"R:strong, silent",canada
Randle Ayrton,1918-1978,Ayrton,Randle,M,1869,,R:character,british
Shabana Azmi,,,,F,,,unknown,unknown
Charles Aznavour,1958-1976,Aznavurjan,Shahnour,M,1924,,R:small rugged lead,\Tu
Candy Azzara,,,,F,,,unknown,unknown
Hank Azaria,,,,M,1964,,R:comic,unknown
Lauren Bacall,1944-1981,Perske,Betty Jean,F,1924,,R:sultry to resourceful,USA
Barbara Bach,1977-1981,Bach,Barbara,F,1951,,R:lead,german
Pamela Bach,,Bach,Pamela,F,1962,,unknown,USA
Amitabh Bachchan,1970-1980,bn,fn,M,1942,,R:romantic hero Am,
Jim Backus,1958-1980,Backus,Jim,M,1913,,R:burly comedian,USA
Kevin Bacon,1984-1990,,,M,,,unknown,unknown
Hermione Baddeley,1940-1964,Baddely,Hermione,F,,,R:sr,\Ct
Alan Badel,1953-1980,Badel,Alan,M,1923,,R:sensitive,british
Buddy Baer,1949-1961,Baer,Jacob Henry,M,1915,,unknown,USA
Harry Baer,1979-1980,,,M,,,unknown,unknown
Max Baer,1933-1958,Baer,Max,M,1909,,R:boxer,USA
Pearl Bailey,1047-1976,Bailey,Pearl,F,1918,,R:black singer,USA
Barbara Bain,1971-1973,Bain,Barbara,F,1932,,R:lead,USA
Fay Bainter,1934-1962,Bainter,Fay,F,1892,,R:stalwart matron,USA
Scott Baio,1978-1982,Baio,Scott,M,1961,,R:teenager,USA
Blanche Baker,1984-1990,,,F,,,unknown,unknown
Carrol Baker,1953-1983,Baker,Carrol,F,1931,,R:sex symbol,USA
Diane Baker,1959-1971,Baker,Diane,F,1936,,R:demure,USA
Hylda Baker,1960-1973,Baker,Hylda,F,1909,,R:comedienne,british
Joe Don Baker,1967-1979,Baker,Joe Don,M,1943,,R:tough,USA
Josephine Baker,1927,Baker,Josephine,F,1906,,R:sexy dancer,USA
Kathy Baker,1987-1990,,,F,,,R:good girl,USA
Kenny Baker,1936-1946,Baker,Kenny,M,1912,,R:crooner,USA
Ruby Baker,1982,,,F,,,unknown,unknown
Stanley Baker,1941-1975,Baker,Sir Stanley,M,1927,,R:virile,\Br; Welsh
Tom Baker,1971-1975,Baker,Tom,M,1935,,R:larger than life,british
Bob Balaban,1978-1966,Balaban,Bob,M,1965,,R:character,USA
Jill Balcon,1947,Balcon,Jill,F,1925,,unknown,british
Rebecca Balding,,,,F,,,unknown,unknown
Adam Baldwin,1980-1989,,,M,,,unknown,unknown
Alec Baldwin,1988-1990,Baldwin,Alec,M,195x,,R:peevish,
Daniel Baldwin,,Baldwin,Daniel,M,,,unknown,USA
Stephen Baldwin,,Baldwin,Stephen,M,1963+,,unknown,USA
William Baldwin,1989-1990,Baldwin,William (Billy),M,1963,,unknown,USA
Betty Balfour,1928-1945,Balfour,Betty,F,1903,,R:comedienne,british
Mireille Balin,1933-1937,Balin,Mireille,F,1909,,R:lead,french
Florinda Balkan,1970-1975,,,F,,,R:mistress,
Lucille Ball,1933-1973,Ball,Lucille,F,1910,,R:comedienne,USA
Vincent Ball,1956-1960,Ball,Vincent,M,*,,unknown,australian
Kay Ballard,1956-1980,Balotta,Catherine (Kaye),F,1926,,R:comedienne,USA
Martin Balsam,1954-1982,Balsam,Martin,M,1919,,"R:quiet, comfortable",USA
Anne Bancroft,1952-,Italiano,Anna Maria,F,1931,,"R:warm, competent",unknown
George Bancroft,1921-1942,Bancroft,George,M,1882,,R:burly,USA
Antonio Banderas,,,,M,,,unknown,unknown
Victor Banerjee,,,,M,,,unknown,unknown
Donatas Banionis,,,,M,,,unknown,unknown
Alex Bank,,,,M,,,unknown,unknown
Tallulah Bankhead,1918-1965,Bankhead,Tallulah,F,1902,,R:theatrical,USA
Aaron Banks,,,,M,,,unknown,unknown
Leslie Banks,1932-1950,Banks,Leslie,M,1890,,R:tough sophisticate,british
Vilma Banky,1920-1933,Lonchit,Vilma,F,1902,,R:silent,\Os-\Hu
Ian Bannen,1955-1983,Bannen,Ian,M,1928,,R:effective,british
John Banner,1943-1971,Banner,John,M,1910,,R:German sergeant,\Po-\Am
Theda Bara,1915-1926,Goodman,Theodosia,F,1890,,R:vamp,USA
Olga Baraclanova,,,,F,,,unknown,unknown
Christine Baranski,,,,F,,,unknown,unknown
Vanna Barba,1992,Barba,Vanna,F,1967,,R:sexy,greece
Adrienne Barbeau,1977-1982,Barbeau,Adrienne,F,1949,,R:lead,USA
George Barbier,1924-1945,Barbier,George,M,1865,,R:blustery kind man,USA
Joyce Barbour,1936,,,F,,,unknown,unknown
Brigitte Bardot,1954-1973,Javal,Camille,F,1933,,R:sexy,french
Mijanou Bardot,1960,Javal,Mijanou,F,,,R:sexy,french
Sonny Barger,,,,M,,,unknown,unknown
Lynn Bari,1933-1962,Fisher,Marjorie,F,1915,,R:pert,USA
Norah Baring,1928-1933,Baring,Norah,F,1907,,R:lead,british
Erik Barker,1937-1970,Barker,Erik,M,1912,,R:character,british
Ronnie Barker,1963-1979,Barker,Ronnie,M,1929,,R:portly,british
Lex Barker,1949-1952,Barker,Alexander,M,,,R:ape man,USA
Ellen Barkin,1982-1989,Barkin,Ellen,F,1954,,R:sexy wives,USA
Marcie Barkin,1975,,,F,,,unknown,unknown
Mikhail Barishnikov,1979,,,M,,,R:dancer,russian
Binnie Barnes,1931-1972,Barnes,Gitelle,F,1905,,R:light,british
Jake Barnes,,,,M,,,unknown,unknown
Joanna Barnes,1958-1970,Barnes,Joanna,F,1934,,R:cool,USA
Julian Barnes,,,,M,,,unknown,unknown
Priscilla Barnes,,,,F,,,unknown,unknown
Charlie Barnett,,,,M,,,unknown,unknown
Nella Barnier,,,,F,,,unknown,unknown
Sandy Baron,,,,,,,unknown,unknown
Pierre Barouh,,,,M,,,unknown,unknown
Maria Barranco,,,,F,,,unknown,unknown
JeanLouis Barrault,1935-1967,Barrault,Jean-Louis,M,1910,,R:stage actor,french
MarieChristine Barrault,1969-1978,Barrault,Marie-Christine,F,1944,,unknown,french
Edith Barrett,1941-1956,Williams,Edith,F,1907,,R:secondary,USA
Judith Barrett,1936-1940,Kelly,Lucille,F,1914,,R:B-movie lead,USA
Barbara Barrie,1964-1980,Barrie,Barbara,F,,,R:pert,USA
Mona Barrie,1933-1953,Smith,Mona,F,1909,,R:ladylike,australian
Wendy Barrie,1932-1954,Jenkins,Wendy,F,1912,,R:lead,british
Edgar Barrier,1940-1963,Barrier,Edgar,M,1906,,R:suave villain,USA
Maurice Barrier,1982,,,M,,,unknown,french
George Barris,1979,,,M,,,unknown,unknown
Gene Barry,1952-1979,Klass,Eugene,M,1921,,R:poised,USA
Joan Barry,1922-1934,Barry,Joan,F,1903,,R:lead,british
Diane Barrymore,1942-1944,Barrymore Blythe,Diane Blanche,F,1921,,R:unhappy,USA
Drew Barrymore,1982-1992,Barrymore,Drew,F,1976,,R:determined child,USA
Ethel Barrymore,1914-1957,Blythe,Edith Mae,F,1879,,R:regal presence,USA
John Barrymore,1913-1942,Blythe,John,M,1882,,R:churlish grandpa,USA
John Barrymore~jr.,1950-1963,Blythe Barrymore,John Drew,M,1932,,R:weakling,USA
John Barrymore~III,,,,M,,,unknown,unknown
Lionel Barrymore,1909-1953,Blythe,Lionel,M,1878,,R:churlish grandpa?,USA
Doris Rankin,,Rankin,Doris,[6],,,unknown,USA
Irine Fenwick,,Fenwick,Irene,[6],1936,,unknown,USA
Maurice Barrymore,,Blythe,Herbert,M,,,R:[stage],USA
Georgiana Drew,,Blythe,Herbert,M,,,R:[stage],USA
Paul Bartels,1976-1981,Bartels,Paul,M,1940,,R:wild,USA
Eddie Barth,1979,,,M,,,unknown,unknown
Richard Barthelmess,1916-1942,Barthelmess,Richard,M,1895,,R:presentable innocent,USA
Freddie Bartholomew,1930-1951,Llewellyn,Frederick,M,1924,,R:well-bred child,ireland
Eve Bartok,1951-1964,"Sj\""oke",Eva,F,1926,,R:agreeable,hungary
James Barton,1923-1961,Barton,James,M,1890,,R:grubby,USA
Richard Basehart,1947-1982,Basehart,Richard,M,1915,,R:thoughtful,USA
Tony Basil,1969,,,M,,,unknown,unknown
Kim Basinger,1982-1989,Basinger,Kim,F,1953,,"R:stunning, vulnerable looking lead",USA
